respondentId,reportedAt,durationSeconds,score,stressor1,stressor2,stressor3,buffer1,buffer2,buffer3,I feel I belong in my organization.,"Do you get up at the same time each morning, even if you do not have to work?","Do you go to bed at the same time each night, even if you do not have to work the next day?",Do you get up immediately after your first alarm? (as opposed to snoozing).,"I have trustworthy, reliable, and loving relationships with my family.","I have trustworthy, reliable, and loving relationships with my friends.","I have trustworthy, reliable, and caring relationships with my co-workers.",I am satisfied with the amount of freedom and independence I have when doing my job.,I am satisfied with the amount of discretion I have when doing my job.,I fall asleep easily.,I tend to wake up during the night and can't fall back to sleep again.,I find it challenging to get up in the mornings.,I feel well-rested and refreshed in the mornings.,"Considering my qualifications and experience, I am compensated fairly.",I feel fairly compensated considering what others in my organization and in the wider job market are being paid.,I can confide in my co-workers when I need to.,I consider some of my co-workers as friends.,I have a healthy balance between my work and personal life.,I have time/make time for leisure activities each day.,I have too much work to do and struggle to keep up.,My values are aligned with that of my organization.,I have control over my work schedule.,My schedule is entirely dependent on what the organization's needs are.,"Based on my education and experience, I am satisfied with the opportunities for advancement that my organization offers.",My organization prefers to hire from outside rather than promote from within.,Do you have a daily or regular routine of any form of a mindfulness or meditation practice?,I believe my current employment is secure into the foreseeable future.,I have a desire to help those less fortunate and take tangible action to do so.,I am able to sacrifice personal comforts for the benefit of others less fortunate.,I feel the work I do makes a difference in the world.,I feel the work I do makes a difference in the lives of others.,I am actively seeking out situations where I can grow my knowledge.,I am curious and stimulated by certain fields/topics outside of my profession.,I can accurately identify and name the emotions of others.,I am able to imagine what others are feeling.,I can feel what others feel by identifying what they are going through.,I can recognize and understand why others are feeling the way they are.,I struggle to recognize and understand the emotions someone else is experiencing fully.,I am actively making time to study or learn more about my field of work.,I struggle to find time to keep up to date with the latest developments in my field of work.,I have control to change and adapt how I do my job as I see fit.,I am satisfied with the level of freedom and discretion to change and adapt my job to better suit my personal needs.,I am thankful for the things in my life that I have.,I often think or dream of things I do not have.,"To the best of my knowledge, my diet is balanced (e.g., a good mix of multiple food groups).",How many times a day do you eat?,"Do you eat at equally dispersed intervals? e.g., 4 hours apart?",How many times a week do you exercise?,"On average, how long are your exercise sessions?","Do you believe your exercise routine incorporates a good balance of the typical types of exercise? (e.g., cardio, strength).",My manager/supervisor considers everyone's input on the team before making decisions.,My manager/supervisor gives me constructive feedback if I do not perform well.,My manager/supervisor gives me positive feedback if I perform well.,I have a negative outlook on the future.,"When doing my work, I get irritated/agitated more than usual.","When doing my work, I find remaining energized and motivated difficult.",I struggle to relax when I have time to do so.,"When doing my work, I feel mentally fatigued or exhausted.",I tend to worry about the future more than before.,"When I wake up, I feel ready to take on the day.",I feel uncertain and anxious about what the future holds.,I feel powerless over my own life.,I am enthusiastic about my work.,My life has meaning and a purpose.,"When doing my work, I feel cheerful and happy.",I feel a sense of dread/disdain when I think about my job.,I am satisfied with my job.,I have been thinking about/planning on leaving my employer.,I get excited about doing my job.,My working day goes by fast.,"I get immersed while doing my job, forgetting about time and other worries.",I am proud of the work I do.,Our leaders treat staff with respect.,Staff treat each other with respect.,My co-workers trust in me and each other.,"In my area, employees are treated fairly.",I am empowered to investigate problems and explore new ideas at work.
respondent_6asm3m09d45y,2024-04-17T01:53:05.218Z,560.005,65,Sleep Pattern Consistency,Mindfulness Practice,Workout Balance,Regular Meal Energy,Charity,Knowledge Desire and Curiosity,75,25,25,25,75,50,75,75,75,100,50,75,50,75,75,75,75,50,75,25,75,75,75,75,75,33,75,100,75,75,75,75,100,50,50,50,50,50,75,50,75,75,75,50,75,100,66,75,80,33,75,75,75,75,50,75,75,50,50,50,50,75,75,75,75,75,80,80,75,100,75,75,50,50,75,75,100
respondent_aaocotleisv3,2024-04-22T21:17:01.588Z,1612.567,93,Mindfulness Practice,Workout Balance,Sleep Pattern Consistency,Knowledge Desire and Curiosity,Emotional Empathy,Workout Frequency and length,100,75,25,100,75,100,100,75,100,25,75,100,100,75,75,100,75,100,50,100,100,50,25,100,100,33,100,75,100,100,75,100,75,100,75,100,75,100,100,100,100,75,100,50,75,100,66,100,100,66,50,50,100,100,75,100,75,100,75,100,100,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75
respondent_dvh48nj5bfrh,2024-04-16T02:20:04.115Z,351.652,74,Workout Balance,Knowledge Desire and Curiosity,Mindfulness Practice,Sleep Quality,Healthy Personal Relationships,Regular Meal Energy,100,75,75,100,100,100,75,75,75,100,100,75,75,75,75,100,100,75,50,50,75,75,50,75,50,66,75,75,75,75,75,50,75,75,75,75,75,75,50,25,75,75,100,75,75,100,100,100,40,33,75,75,75,75,75,75,25,75,75,75,75,75,75,100,75,75,80,100,75,100,100,100,100,75,75,75,75
respondent_jc6yrp0alfyf,2024-04-15T14:05:15.807Z,277.516,69,Workout Balance,Sleep Quality,Workout Frequency and length,Regular Meal Energy,Healthy Personal Relationships,Knowledge Desire and Curiosity,75,75,75,75,100,75,75,100,75,75,0,75,25,25,25,75,75,75,75,50,75,50,25,75,75,66,100,75,75,100,100,100,100,75,75,75,75,25,75,75,75,75,100,0,75,100,66,50,40,0,75,75,100,75,75,75,25,75,75,75,25,75,75,75,75,75,80,60,75,75,75,100,100,100,100,100,100
respondent_ijm5cqqaw4cy,2024-04-15T14:16:28.071Z,494.101,67,Mindfulness Practice,Workout Balance,Regular Meal Energy,Emotional Empathy,Healthy Personal Relationships,Knowledge Desire and Curiosity,50,75,25,25,75,75,75,50,50,25,75,50,25,50,50,75,75,50,50,75,50,25,75,50,75,0,75,75,75,50,50,75,75,75,75,75,75,25,75,25,75,75,75,50,50,50,33,75,60,33,75,75,75,75,75,50,50,75,25,75,50,75,75,75,75,75,80,80,75,50,75,75,75,75,75,75,50
respondent_6pqh2f4rrdzi,2024-04-22T14:48:26.374Z,620.336,75,Mindfulness Practice,Sleep Quality,Healthy Personal Relationships,Knowledge Desire and Curiosity,Sleep Pattern Consistency,Workout Frequency and length,75,75,50,100,50,75,75,75,75,50,25,75,50,75,50,50,75,50,50,75,50,75,25,75,75,0,75,75,75,50,75,75,75,75,75,75,75,75,50,50,75,50,100,50,75,100,33,75,100,66,25,75,50,100,75,75,25,75,75,75,75,75,75,75,75,75,80,80,50,75,75,100,75,75,75,75,75
respondent_dt45kebwhkie,2024-04-16T15:02:16.487Z,455.361,66,Mindfulness Practice,Workout Balance,Sleep Pattern Consistency,Healthy Personal Relationships,Knowledge Desire and Curiosity,Regular Meal Energy,75,50,50,25,75,75,75,75,50,50,25,75,50,25,50,25,75,50,50,75,75,25,25,25,75,0,25,75,75,50,75,75,75,50,75,50,75,75,50,75,50,25,75,50,75,100,66,50,80,33,25,25,75,75,75,50,50,25,25,50,75,100,50,100,75,100,60,20,50,25,50,75,75,75,75,75,75
respondent_5uduf86w7odw,2024-04-15T21:47:19.289Z,1447.615,66,Regular Meal Energy,Mindfulness Practice,Workout Balance,Cognitive Empathy,Charity,Emotional Empathy,75,100,25,50,75,75,75,75,75,25,25,75,50,25,50,75,100,75,25,75,75,25,50,50,50,33,75,100,100,50,75,75,75,100,100,100,100,75,50,75,50,50,75,25,75,50,0,50,60,33,75,75,75,75,75,50,25,75,25,75,50,75,75,75,75,75,60,60,75,50,75,75,50,75,75,75,75
respondent_8n6sejpsd0rs,2024-04-23T00:58:32.199Z,444.641,69,Mindfulness Practice,Workout Balance,Workout Frequency and length,Emotional Empathy,Healthy Personal Relationships,Sleep Pattern Consistency,75,75,75,100,75,75,75,75,75,50,25,100,75,50,75,75,75,75,75,25,25,75,50,75,75,0,75,75,75,75,75,75,50,75,75,75,75,75,50,75,50,50,75,50,75,100,33,75,40,33,75,75,100,75,75,50,25,75,50,100,50,75,75,75,75,75,80,100,75,75,50,75,75,75,75,75,75
respondent_bwmfcwv39nhf,2024-04-15T16:44:35.918Z,467.222,94,Workout Balance,Dietary Quality,Charity,Sleep Pattern Consistency,Gratitude,Healthy Personal Relationships,0,75,75,100,100,75,75,100,100,75,50,100,50,100,100,75,75,75,50,75,100,100,25,100,100,66,100,75,50,75,100,50,75,75,75,75,75,75,50,75,100,75,100,75,50,100,66,100,60,33,75,75,75,100,100,100,100,100,75,75,100,100,100,100,75,100,100,100,75,100,75,100,100,75,75,100,100
