id,email,parentEmail,groupName,userId,auth0Id,surveyId,response,score,invitedAt,createdAt,updatedAt,deleted
respondent_6asm3m09d45y,,,MKTG,user_0cdeqasiizm0,auth0|661f28c5c1dc25bb433d3c79,awpv4,Y,65,"4/15/2024, 3:58:58 PM",2024-04-14T04:54:47.363+02:00,2024-04-17T03:53:05.224+02:00,-
respondent_aaocotleisv3,,,PRODUCTION 1,user_0ckzc8d516bo,,,N,,"4/22/2024, 4:12:58 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:12:58.538+02:00,-
respondent_dvh48nj5bfrh,,,PRODUCTION 1,user_0ep4z7dto72e,,,N,,"4/22/2024, 4:12:58 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:12:58.814+02:00,-
respondent_jc6yrp0alfyf,,,PRODUCTION 2,user_0gz4qcfpznhi,auth0|6626cd5b95b226b540401c45,awpv4,Y,93,"4/22/2024, 4:12:58 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T23:17:01.603+02:00,-
respondent_ijm5cqqaw4cy,,,PRODUCTION 3,user_0hgenbzlrrbf,,,N,,"4/22/2024, 4:12:59 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:12:59.366+02:00,-
respondent_6pqh2f4rrdzi,,,PRODUCTION 1,user_0low5en9gmqm,,,N,,"4/22/2024, 4:12:59 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:12:59.625+02:00,-
respondent_dt45kebwhkie,,,S&D,user_0ltyr4eymls2,,,N,,"4/22/2024, 4:12:59 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:12:59.912+02:00,-
respondent_5uduf86w7odw,,,PRODUCTION 1,user_0oln1stmj97a,,,N,,"4/22/2024, 4:12:59 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:13:00.232+02:00,-
respondent_8n6sejpsd0rs,,,ADMIN,user_1c70jvuu4m5o,auth0|661ddeda509fd178c0bb205a,awpv4,Y,74,"4/15/2024, 3:59:00 PM",2024-04-14T04:54:47.363+02:00,2024-04-16T04:20:04.136+02:00,-
respondent_bwmfcwv39nhf,,,R&D SPECIALTY,user_1otgaf08n7ec,auth0|661d32f855aa6d3f7acaa7eb,awpv4,Y,69,"4/15/2024, 3:59:01 PM",2024-04-14T04:54:47.363+02:00,2024-04-15T16:05:15.821+02:00,-
respondent_a7o56f09iu3u,,,PRODUCTION 3,user_1txn8d774uyo,,,N,,"4/22/2024, 4:13:00 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:13:00.573+02:00,-
respondent_bu497st09nxn,,,PRODUCTION 1,user_308lkxqyyuec,,,N,,"4/22/2024, 4:13:00 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:13:00.836+02:00,-
respondent_6k5tpf3ual5k,,,R&D SPECIALTY,user_3b5d2l8vpczj,,,N,,"4/22/2024, 4:13:00 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:13:01.070+02:00,-
respondent_4amq3t9lkqwc,,,MKTG,user_3u2gvw2rybub,auth0|661d34c670f99763d9ef828d,awpv4,Y,67,"4/15/2024, 3:59:02 PM",2024-04-14T04:54:47.363+02:00,2024-04-15T16:16:28.080+02:00,-
respondent_wgqdgekd026x,,,ADMIN,user_4g9tyvwnzkyv,auth0|661d69108725f8fd99c9f171,awpv4,Y,75,"4/15/2024, 3:59:02 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:48:26.379+02:00,-
respondent_xipi1zb2xekm,,,ADMIN,user_4opi2tgwkvo6,auth0|661e90f44af6701f92428ef9,awpv4,Y,66,"4/15/2024, 3:59:02 PM",2024-04-14T04:54:47.363+02:00,2024-04-16T17:02:16.490+02:00,-
respondent_3s7qe4ey15ge,,,ADMIN,user_501pz5veoynq,auth0|661d9ab370f99763d9efdfa6,awpv4,Y,66,"4/15/2024, 3:59:03 PM",2024-04-14T04:54:47.363+02:00,2024-04-15T23:47:19.313+02:00,-
respondent_ypee46mwi817,,,PRODUCTION 1,user_51xtx47rae1i,auth0|662705e476ceaf6373757a10,awpv4,Y,69,"4/22/2024, 4:13:01 PM",2024-04-14T04:54:47.363+02:00,2024-04-23T02:58:32.218+02:00,-
respondent_z7ykv2mxvsq0,,,PRODUCTION 1,user_5wppymziaga8,,,N,,"4/22/2024, 4:13:01 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:13:01.610+02:00,-
respondent_vwqr75sbaafr,,,PRODUCTION 3,user_64o0jwl86mva,,,N,,"4/22/2024, 4:13:01 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:13:01.859+02:00,-
respondent_uad51nhbwkjs,,,ADMIN,user_64t74rb8bx34,auth0|661d5777dbc97ae8ff85a810,awpv4,Y,94,"4/15/2024, 3:59:04 PM",2024-04-14T04:54:47.363+02:00,2024-04-15T18:44:35.932+02:00,-
respondent_bdj9cbti4t38,,,PRODUCTION,user_6bw6491436vq,,,N,,"4/22/2024, 4:13:01 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:13:02.092+02:00,-
respondent_db6ivpnc9h0p,,,R&D SPECIALTY,user_6ebm603llig8,auth0|661d9117ecfbfa66efdff7ad,awpv4,Y,69,"4/15/2024, 3:59:04 PM",2024-04-14T04:54:47.363+02:00,2024-04-15T22:51:53.307+02:00,-
respondent_3kfgi83ehpyj,,,S&D,user_6qe8wnnbj1kr,,,N,,"4/22/2024, 4:13:02 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:13:02.358+02:00,-
respondent_5sstn5riz3ox,,,PRODUCTION 1,user_6zlfw11dowyr,,,N,,"4/22/2024, 4:13:02 PM",2024-04-14T04:54:47.363+02:00,2024-04-22T16:13:02.636+02:00,-
